px	py	v	yaw	yaw_rate	vx	vy	px_meas	py_meas	x_gt	y_gt	vx_gt	vy_gt	rmse_px	rmse_py	rmse_vx	rmse_vy	nis_lidar	nis_radar
10.0288	20.9601	4.87207	3.29191	0.532746	-4.81713	-0.729624	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	0.0534778	0.0953736	0.52854	0.311832	3.36352	1.02054
9.83012	20.922	4.81787	3.31931	0.535313	-4.74199	-0.851703	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	0.0533198	0.0955186	0.527029	0.311217	1.68598	1.02054
9.59488	20.9134	4.79439	3.31889	0.487467	-4.71924	-0.845568	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	0.0531609	0.0954832	0.525544	0.310325	1.68598	2.45353
9.39789	20.8615	4.74397	3.34774	0.493613	-4.64353	-0.971023	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.0531179	0.0955055	0.524177	0.309453	1.13312	2.45353
9.17454	20.8209	4.73397	3.36906	0.490787	-4.61202	-1.06757	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	0.0531798	0.0954849	0.522852	0.30857	1.13312	1.50302
8.8895	20.7866	4.80595	3.38176	0.476555	-4.66801	-1.14317	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	0.0530411	0.0953677	0.521403	0.307669	2.0883	1.50302
8.6726	20.7083	4.7885	3.41496	0.488607	-4.61069	-1.29277	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	0.0529722	0.0953486	0.52002	0.306802	2.0883	4.4468
8.40188	20.623	4.84346	3.44274	0.490678	-4.62549	-1.43666	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	0.052821	0.0954584	0.518589	0.30599	2.72469	4.4468
8.17346	20.5431	4.84541	3.47131	0.497647	-4.58441	-1.56884	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.05268	0.0956365	0.51719	0.305231	2.72469	0.0850922
7.93267	20.4627	4.86183	3.49465	0.495633	-4.56194	-1.68108	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.0525329	0.0958496	0.515793	0.30449	0.130004	0.0850922
7.71631	20.3767	4.86198	3.52681	0.513182	-4.50568	-1.82695	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	0.0524179	0.0961003	0.514446	0.30386	0.130004	3.47893
7.41605	20.3175	4.95362	3.53048	0.487926	-4.58374	-1.87821	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	0.052371	0.0961601	0.512998	0.303107	3.63198	3.47893
7.18603	20.2203	4.95282	3.55309	0.483446	-4.53938	-1.98102	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.0523247	0.0962579	0.511566	0.30236	3.63198	0.226894
6.9236	20.1378	4.99516	3.56528	0.469898	-4.55349	-2.05363	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.0524996	0.0962708	0.510135	0.301572	0.84072	0.226894
6.69965	20.0457	4.9828	3.58168	0.45869	-4.50801	-2.12277	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.0526532	0.0962348	0.508716	0.300756	0.84072	0.476594
6.45153	19.9549	5.00807	3.59461	0.44766	-4.50291	-2.19195	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.0530213	0.096127	0.507316	0.299928	0.43951	0.476594
6.2353	19.861	4.9931	3.61184	0.442714	-4.45114	-2.26239	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	0.0533233	0.0959566	0.505923	0.299103	0.43951	2.81181
5.97358	19.768	5.0363	3.61945	0.426593	-4.47215	-2.31607	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.0541009	0.0957284	0.504583	0.298302	1.00047	2.81181
5.74785	19.6222	5.06771	3.65768	0.45534	-4.40767	-2.50083	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	0.0549667	0.0955712	0.503236	0.297513	1.00047	2.00935
5.56404	19.5008	5.02219	3.68454	0.460593	-4.29995	-2.59476	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	0.0554186	0.0954041	0.501875	0.296733	1.18027	2.00935
5.36302	19.3515	5.01834	3.7175	0.473788	-4.20886	-2.73298	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	0.0557387	0.0953143	0.50053	0.296031	1.18027	1.7198
5.14712	19.2506	5.01079	3.727	0.459078	-4.17643	-2.76865	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	0.0561021	0.0951141	0.499192	0.295263	1.92443	1.7198
4.95307	19.1385	4.96551	3.73664	0.436325	-4.11206	-2.78339	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	0.0563289	0.0948705	0.497868	0.294479	1.92443	4.61279
4.78516	18.9878	4.92701	3.76906	0.448443	-3.98848	-2.89265	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.0563027	0.0946398	0.496609	0.2937	0.676698	4.61279
4.5778	18.8379	4.95117	3.79444	0.457093	-3.93299	-3.00759	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	0.0562968	0.0944172	0.495365	0.292944	0.676698	1.48489
4.39739	18.7062	4.92351	3.81377	0.454005	-3.85248	-3.06585	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	0.0562058	0.0941741	0.494166	0.292181	1.11326	1.48489
4.21282	18.564	4.89194	3.82772	0.436388	-3.78493	-3.09926	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	0.0560804	0.0939286	0.493	0.291422	1.11326	1.38092
4.08248	18.4082	4.82634	3.86299	0.452424	-3.62402	-3.18748	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	0.0560234	0.093685	0.492074	0.290667	2.13918	1.38092
3.8998	18.2363	4.8781	3.90134	0.48794	-3.53668	-3.35972	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	0.0560118	0.0934457	0.491251	0.289994	2.13918	7.18152
3.65143	18.0952	4.94163	3.8975	0.455781	-3.59578	-3.3897	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	0.055869	0.0932116	0.490155	0.289274	2.59314	7.18152
